핵심자원,label
"디자인능력과 전문지식을 갖고 있는 설계 인력과 정보, 협상력을 갖춘 영업인력",E
"판매 제품의 높은 품질 신뢰도 및 선진 기술 제공
전문 영업인력의 기술 서비스에 따른 고객의 현장 불만 감소
고객의 요구에 맞춘 신속한 신제품 개발 및 대응",C
"시공에 필요한 기술자 보유(시공, 공무 등)
고객만족을 위한 사후관리 시스템 ",D
" 전문지식을 갖춘 부서별 인적자원
 법령에 근거한 전문과학기술서비스업
 오랜 근속연수로 인한 인적자원의 경험력
 다양한 대외활동을 기반으로 한 경영진의 사장흐름을 파악하여 변화를 이끄는 경영진
 지역에 기반한 영업력",D
"전문 기술인력과 풍부한 경험을 갖춘 각 부서의 인적자원
시장 흐름을 파악하여 변화를 이끄는 경영진
업계에서 규모가 큰 설비 및 생산 능력의 공장(자동화 설비)
제품 생산의 오랜 노하우와 생산기술",B
"양질의 골재 생산에 적합한 원석
본업에 대한 전문 지식과 경험을 가진 인적자원
시장점유율 1위의 55년 업력의 노하우",D
"영업부의 인적자원으로써 누적된 영업기술, 인적 관계
30년 이상 누적된 생산 기술력의 인적자원으로 시행착오 최소화를 통한 원가절감과 순발력 있는 대응",D
"자산 증대 및 신용등급 상향을 통한 자금 조달 금리 인하
산업 시장 흐름을 파악하여 변화를 이끄는 능력 있는 경영진
신규 상품 런칭 및 산업별 심사 강화를 통한 리스크 완화 능력
상품별 전문 인력 채용을 바탕으로 브랜드 파원 및 인적 자원",D
"공장 및 설비시설
배관 제작 노하우 및 생산능력",E
"전국적 오프라인 유통 네트워크 보유
다양한 온라인 채널 확보
제품 개발 및 생산 능력 보유
시장 트랜드에 민첩하게 대응 할 수 있는 조직 보유
유통 및 마케팅 전문 인력 보유",B
"현재 기술의 최적화 및 향후 기술추이를 탐색하는 엔지니어의 선도적 기술확보
거래선 연구소 및 엔지니어를 대상으로 Promotion을 추진하는 기술영업의 인적자원
H/W와 S/W 그리고 Power를 구성하는 Total solution 지원 능력
필요기술을 확보하여 협력할 수 있는 다양한 기술파트너 체제구축",A
"고객을 편하게 응대할 수 있는 영업사원
기술적인 문제에 원활히 해답을 줄 수 있는 엔지니어
물류를 원활히 할 수 있는 물류 전문가
디자인적 감각으로 고객의 니즈를 만족시키는 코디네이터
창고 정리를 잘하는 정리 전문가가 악성 재고를 줄인다",C
"나물류의 다양한 품목
전국 계약재배 농가
숙련된 생산인력의 노하우
경기도의 공장 소재지로 서울, 경기지역 학교급식실 1시간내 긴급발주 가능",E
상기 답변으로 대체함.,E
"전문 소싱 능력이 중요합니다. 온라인 판매상 고객이 필요시 적기에 제품을 공급하는 것이 중요합니다.
인터넷 쇼핑몰운영자의 시장 분석 능력입니다. 즉, 경쟁사 제품들의 판매추이를 파악하여 신속하게 프로모션 대응하는 전략가가 필요합니다.
특화된 제품을 만들고 고객에게 홍보에 주력(예, 태양을 담은 김치김치가 많지만 새로운 브랜드로 고객의 호기심을 자극하여 맛을 볼 수 있도록 유도)",E
"금융권 경험 및 중소기업 경영컨설팅 사례
다양한 업종의 중소기업 창업 및 운영 지도를 통한 간접적인 사업경험
창업자 지도 및 아이디어 사례 경험과 초기 창업자의 다양한 성공 실패사례 체험
중소기업의 환경에 맞는 맞춤형 경영/자금조달 지도 경험",E
"세계 최고의 스포츠 기업으로서 긴 역사의 경험을 통한 서비스 제공
미국 싱가포르 중국 일본 영국 말레이시아 한국 등 다양한 지사들의 지속적인 커뮤니케이션 및 협업을 통한 빠른 업무진행",E
"정확한 원료 시황 파악 및 업체에서 원하는 물성을 찾을 수 있도록 추천 할 수 있는 다양한 원료 지식 
신규 제조업체 및 시장 발굴",E
"물류비용 절감 (시내위치)
소품종, 대량재고 확보로 예측가능한 구매력확보
대량구매로 단가 경쟁력 확보
신속 출하 시스템으로 회사 이미지 제고
친절 응대로 만족도 향상",D
"보일러 및 탈황설비의 전문지식을 보유한 설계 및 설치 엔지니어
중국에 합작법인으로 설립한 가격경쟁력 및 고품질의 제작 설비",C
"방송시스템 전문지식을 바탕으로 설계능력과 협상력을 갖춘 영업팀
방송장비 전문성을 만들고 기술의 원천인 지적 재산권을 끊임없이 연구하는 부설 기술연구소
효율적인 발주(장비및 시공업체선정)를 위한 외주구매팀",D
"전문지식을 갖춘 대출상담사등 인적자원 확보
대표자의 전문성으로 강한 리더쉽 ",E
"재고관리 물류관리의 역량강화
고객의 니즈를 신속 정확하게 처리하기 위한 인원과 설비를 효율적으로 운영하기 위한 노하우 및 역량 업그레이드",D
