수익원,label
설계결과물의 제공을 통한 용역비,D
"제품 판매 대금 수령
인쇄회로기판 제조용 표면처리약품 판매 수익
반도체 제조용 표면처리약품 판매 수익
일반 각종 기능성약품 판매 수익",A
"경쟁입찰을 통한 계약으로 공사대금 수령
하자율 최소화로 사후 관리비 적정 투입",C
" 기존고객의 지속적인 관계를 통한 용역수행에 대한 용역비용 수령
 경쟁입찰을 통한 용역계약으로 인한 용역대금 수령
 수의계약을 통한 용역대금 수령",C
"제품 판매로 대금 수령
공공입찰로 제품 대금 수령
수의계약을 통한 제품 대금 수령",C
"골재 납품을 통해 판매 대금 수금
원가로 내부(자사) 공급을 통한 내부이익 극대화
운영의 합리화를 통한 효율성 제고(생산성 향상 외)",B
"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
수의계약을 통한 공사대금 수령",C
"대출 발생을 통한 이자 수익
신용등급 상향을 통한 조달금리 감소로 마진율 증가",C
배관납품 판매를 통한 수익창출,D
"제품 판매
서비스 용역 매출",C
"반도체 부품 유통 margin
제품 개발에 따른 개발비
Board(Solution business) 생산 및 공급에 따른 module 판매
판매장려금",A
"현장 납품을 통한 수익
자재 구매비용 절감을 통한 이익 증대
전시장 내방 고객 매출",B
"급식센터 판매대금
홈쇼핑 수출 온라인판매 대금",C
다양한 고객의 개발요청한 제품을 제조 및 납품함.,D
"가장 큰 매출은 쇼핑몰을 통한 해양심층수가 크고, 이익율 측면에서는 특판을 통한 대량 납품과 전자상거래 꽃배달의 수익율이 좋음",B
경영컨설팅 수수료,E
"Management Fee
License Fee
Production cost",C
"원료 물품대
수입 및 오퍼 관련 수수료",C
"판매 대금 수령
구매업체와의 협상을 통한 원가인하후 판매 마진",C
"제품 (보일러 및 환경설비) 판매 및 공사비 수익
설치공사 수행을 통한 공사비 수익
문제점 해결 방안을 찾아 제시하는 설계 서비스 제공 수익",B
"수의계약을 통한 납품 대금 수령
조달청 다수간 업체 게약을 통한 납품 대금 수령
경쟁입찰을 통한 계약으로 납품 대금 수령
동종업체에게 자사 방송장비 단품 판매 수익
음향 설계(음향 시뮬레이션)를 통한 음향 컨설팅비용",A
대출중개를 통한 금융사 중개수수료 ,E
매달 부품취급 처리건수를 통한 다도급비 수령,D
"자재공급을 통한 자재대금 수령
메이커와의 협상을 통한 매입 가격의 네고
일정 제품(특수)의 판매를 통한 메이커의 인센티브 수령",B
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령,C
"신규점포 개발로인한 수익
물류제조 및 납품으로의 수익
공산품 대납으로의 수익",B
캠핑 용품 납품을 통한 대금 수령,D
고객사 입찰을 통한 공사 수주 납품 수익,D
제품판매 수익,D
"비영리를 목적으로 만들어짐.
수익은 대리점에서 얻으며, ERCO 한국지사는 본사에서 예산을 확보 받아 운영.",E
차량 판매로 인한 수입,D
"사입 및 위탁 제품 판매 수익
자체 제작 상품 판매 수익",C
"시공후 공사대금 수령
자재유통후 마진
디자인컨설팅 비용수익",D
"낙찰을 통한 공사수주로 인한 공사대금 수령
민간공사를 통한 공사대금 수령",C
"제품 제안 및 수의계약을 통해 계약
계약된 프로젝트 엔지니어링을 통해 완료 및 대금 수령",C
폐기물 처리비와 스팀판매 및 전력판매,C
"화장품 일반 소비자 제품 판매 수익
관계사 의료기기 체험관 납품 판매 수익",C
"원목가구, 소파 등의 온,오프라인 판매",C
"공공공사 수주로 현금 확보
재개발,재건축 분양을 통한 초기자금 확보
신탁사의 안정적 수주",B
상품 판매,D
"VE 를 통한 원가 절감 및 설계변경
담당자 영업",D
마케팅 채널을 통한 제품 판매수익,D
