고객관계,label
"공공에서 발주하는 경쟁 프로젝트 당선
디자인을 통한 문제해결의 솔루션 제공",C
"지속적인 신기술 소개 및 신제품 제안
기존 판매 약품에 대한 기술 지원",C
"실적을 바탕으로 공공입찰
신탁회사와 지속적인 정보 공유로 공동주택(재개발/재건축) 개발 추진",C
" 기업의 전문성과 우수성을 객관적으로 평가를 하는 기관평가(한국산업안전보건공단평가)에 우수등급 확보(지속적인 A등급 확보)
 고객과의 지속적인 소통을 위한 연중무휴 콜센타 운영",A
"당사 영업부와 디자인연구소가 제품관련 품질 및 디자인 등 니즈를 파악
목표 고객에게 제품 제안 영업
홈페이지나 품평회 등으로 홍보",B
"자재 공급원 서류 제공을 통한 품질에 대한 신뢰확보
타사 대비 양질의 제품에 가격 경쟁력 제공
지속적인 유대관계 유지(영업활동)",C
"신규 디자인 제품 소개(카타록, 리플릿) 방문 영업
혹은 업체,제품 소개 이메일 발송 후 TM 영업",C
"인터넷을 통한 고객상담사별 고객 유치
장비 제조사 및 수입상 영업을 통한 리스, 렌탈, 할부 상품 소개
전문 경력직 채용을 바탕으로 신규 시장 진입 ",B
"건설사, 시공사와의 지속적인 피드백",D
"자동차 동호회를 통한 홍보 및 소통
분기별 총판 간담회를 통한 제품 소개 및 니즈 파악
유투브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
온라인 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",A
"보유기술과 개발경험의 Strong Point 홍보
타사 대비 당사의 제품경쟁력 홍보
제품개발의 경쟁력(개발 납기,개발비,A/S) 홍보",C
"고객이 좋아할 만한 제품의 확보
정기적인 방문과 통화 등 인사를 통한 소통
현장방문 고객사의 담당자와의 소통으로 불만을 사전에 예방하는 것이 최선이 영업이다.",B
"매 학기마다 단가표 급식실로 우편발송
채소를 이용한 새로운 메뉴 개발을 소개한다 
24시간 긴급발주 가능하게 소통한다",C
"항상 타경쟁사보다 기술적인 우위를 점할 수 있는 진보된 특허기술 개발을 목표로 하고 있으며, 현지에 제조 공장 및 현지생산 C/S대응으로 타사와 차별화된 소통방식으로 영업을 진행하고 있음. ",B
"비즈니스 모임 등에 회사 홍보를 하고(예, BNI, 동문회 BUSINESS BAND를 만들어서 상호 교류)
온라인 상의 반복 구매 고객의 고정 고객화 작업.
밴드, 카톡방에 지속적인 제품 소개 ",B
"자금수요업체의 발굴,소개영업
거래업체의 동업종 업체 소개
각종 세미나 및 교육 참가를 통한 참석자 네트웍 활용/소개
블로그 운영",C
"각 나라의 정부 지자체, 방송국, 다양한 후원사들의 니즈를 종합하여 만족할 수 있는 결과를 도출
ex) 후원사 – 브랜드 노출, 매출 상승 기대
   지자체 – 지자체 국제 인지도 상승 및 홍보, 관광객 유입 유도
선수들과의 지속적인 커뮤니케이션",C
타 업체 대비 빠르고 정확한 원료 시황 정보 전달 및 필요한 원료 수배 요청에 신속한 대응,C
"지속적인 방문을 통한 교감
건축자재 시장정보 제공
신속한 출고로 회사 이미지 제고",C
"각 고객별 담당자를 선정하여 실무적으로 정기적인 접촉을 통한 고객의 니즈를 사전 확인
경영층간의 긍정적인 유대관계 유지
국내 국책 연구원 (한국에너지기술연구원, 생산기술연구원, 기계기술연구원, 전자부품연구원 등) 과의 신 기술 국책과제 수행을 통한 회사 이미지 제고",A
"영업부에서 관공서, 건설사, 전기 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
정기적인 사후관리를 통한 고객 장비교육",C
"온라인 마케팅,
지인 소개
부동산 중개업소 및 보험대리점 설계사를통한 고객확보",C
"부품 대리점 등 공급망에서의 요청에 의거, 효율적 재고관리를 통한 신속 정확한 입출하 공정 운영으로 고객만족 극대화",C
"경쟁력 있는 가격으로 제품 공급
제품 품귀시 우선적 공급으로 신뢰 구축
인맥을 통한 소개 영업
적기적소에 최신 정보를 제공함으로써 신뢰 구축
메이커와의 연계 영업을 통한 현장의 불편함 제거",C
"건설사 상품팀 및 기전팀 직접 기술영업 또는 상품위원회 제안 형식 
LH/SH공사 신제품 및 신기술 제안 영업",D
"고객의 니즈와 원트를 빠르게 파악하여 고객과 점주의 만족도 상승
고객에게 지속적인 포인트 적립으로 충성고객 확보
인테넷과 홈페이지를 이용한 번개 이벤트행사
안정된 점포개발로 점주의 안정적 수익 보장
트랜드에 맞는 인테리어 시공으로 고객에 음식만 소비하는 공간이 아닌 펀이 동반된 매장시공",A
"고객사의 요청시 영업 방문
업계를 선도하는 혁신적인 신제품 제안
SNS 등을 활용하여 신속한 커뮤니케이션
타사와 차별화되는 오프라인 마케팅 
체험 가치 제안",B
"고객사의 요청 사항을 반영한 제품개발 (고객사와 함께 제품개발)
납품 전 지속적인 제품 확인 및 납기 확인을 통한 신뢰성 확보
타 고객사 적용사례 및 적용제품 공유",C
"현재 사용중인 제품보다 더 좋은 품질의 제품 샘플 제공
철저한 재고관리로 정확한 납기 준수
지속적인 신제품 소개",C
"매년 개발되는 신제품 소개. 제품 런칭을 통한 소개.
다양한 프로젝트 진행시 관련 고객들과 협업.
지속적인 커뮤니티
조명 관련 교육 프로그램",B
"지속적이고 다양한 사회활동 참여
고객 목소리 경청
홍보 및 판촉 활동",B
"매장 방문율과 친밀도를 높이기 위한 지역자원회수센터 운영(플라스틱 뚜껑, 커피찌꺼기, 쇼핑백 등)
인스타그램 댓글 및 다이렉트 메시지를 통한 고객과의 소통
인스타그램 게시물 업로드시 해시태그(#)를 이용한 공통관심사 잠재고객 팔로우 유도
환경보호, 지속가능한 삶에 대한 공감대 형성을 위한 관련 작품 매장 내 전시(플라스틱 먹은 고래 그림, 환경 관련 문구를 담은 티셔츠, 쓰레기 분리배출 관련 서적 등)",A
