번호,기업명,고객 세그먼트,점수,가치제안,점수,마케팅 채널,점수,고객관계,점수,수익원,점수,핵심활동,점수,핵심자원,점수,핵심파트너,점수,비용구조,점수
1,에이앤유디자인그룹건축사사무소,"현대건설, 지에스건설 등 건설사
LH공사, SH공사, 지방 도시공사와 같은 시행사
토지주",A,"창의적인 디자인을 통한 풍요로운 도시공간의 가치창출
건축문화를 선도하는 리더그룹으로서의 사회적 책임완수
독창적 디자인과 차원 높은 문제해결의 통합디자인 솔루션 제공",B,"공공기관에서 발주하는 현상설계공모 참여
건설사, 시행사에서 발주하는 지명경쟁 설계공모 참여
건설사, 시행사, 토지주와 수의계약을 통한 수주
적격심사 등을 통한 공공경쟁 입찰참가",D,"공공에서 발주하는 경쟁 프로젝트 당선
디자인을 통한 문제해결의 솔루션 제공",C,설계결과물의 제공을 통한 용역비,D,"좋은 디자인
경쟁공모 프로젝트 당선
인허가 기간 준수 및 단축",C,"디자인능력과 전문지식을 갖고 있는 설계 인력과 정보, 협상력을 갖춘 영업인력",E,"건설사, 시행사",C,"인건비
외주비
관리비",E
2,멜텍스코리아 주식회사,"전자부품MLCC(Multi Layer Ceramic Condenser)제조사
반도체 패키지용 인쇄회로기판 제조사
전장용, 5G 통신용 및 네트워크용 인쇄회로기판 제조사
반도체 제조사",A,"기술혁신과 환경 부담 개선을 통하여 전자산업 발전에 공헌하고 환경 보전에 힘쓴다. 
국내 및 해외 법령을 준수하고, 시장의 자유 경쟁을 통해 건전한 사업 활동을 영위한다.
사원의 인격, 개성을 존중하고, 안전한 근무 환경과 능력 및 의욕을 발휘할 수 있는 환경을 제공하여 인재 육성에 힘쓴다.",A,"국내외 최종 사용자의 승인을 통한 중간 업체 판매 확대
자체 영업력을 통한 신규 거래선 확대 및 기존 거래선 판매 유지
대리점을 통한 판매",B,"지속적인 신기술 소개 및 신제품 제안
기존 판매 약품에 대한 기술 지원",C,"제품 판매 대금 수령
인쇄회로기판 제조용 표면처리약품 판매 수익
반도체 제조용 표면처리약품 판매 수익
일반 각종 기능성약품 판매 수익",A,"국내외 관련 전시회 출품을 통한 제품 소개 및 회사 인지도 확대
영업인력을 활용한 선진 기술의 소개 및 제품의 제안
고객사의 고기능 고신뢰성 제품 생산을 위한 기술 지원",B,"판매 제품의 높은 품질 신뢰도 및 선진 기술 제공
전문 영업인력의 기술 서비스에 따른 고객의 현장 불만 감소
고객의 요구에 맞춘 신속한 신제품 개발 및 대응",C,"판매 대리점
창고 및 물류회사
컨설팅 회사",B,"재료비
인건비
물류비
사무실임대료
기계감가상각비
영업비",E
3,에스티엑스건설,"주거용 건물 건축주(입주자아파트 등)
건설부문 외주 및 자재 생산업체(단종업체) 
관공서 발주처(한국토지공사, 해양수산부, 지자체 등)",B,"품질, 기술, 완벽한 시공으로 고객만족을 실현
하자율 최소화(제로)로 입주자 고객만족 추구",E,"한국토지공사/해양수산부/지자체 등
신탁회사(개발신탁)/개인 건축주",B,"실적을 바탕으로 공공입찰
신탁회사와 지속적인 정보 공유로 공동주택(재개발/재건축) 개발 추진",C,"경쟁입찰을 통한 계약으로 공사대금 수령
하자율 최소화로 사후 관리비 적정 투입",C,"관공사, 시행사, 건축주 등 목표고객과 공정 협의를 통해 현장 시공",C,"시공에 필요한 기술자 보유(시공, 공무 등)
고객만족을 위한 사후관리 시스템 ",D,"공공 발주처(한국토지공사, 해량수산부, 지자체 등)",A,"인건비, 시공비, 재료비, 하자처리비
사무실 임대료",E
4,충청산업보건연구원(주),"관공서(행정기관)석면사업부(조사, 감리, 측정)
제조업(대기업)작업환경측정사업부",B," 전문성을 바탕으로 한 신뢰를 구축을 통한 용역서비스 ( 석면조사, 작업환경측정업, 석면감리, 비산농도측정 등)
 고객의 니즈를 충족 시키기 위한 신속 가능한 서비스
 고객의 최우선 욕구인 법규만족 뿐만 아니라 용역서비스에 대한 가치를 상품화하는 노력(비용편익분석등)",A," 기존거래선의 지속적인 유지 (법령에 의한 의무 용역사업)
 공공조달(나라장터)의 입찰을 통한 영업
 지역에서의 기업의 오랜된 네임벨류를 통한 관공성의 수의계약
 경영진의 관련분야 활발한 대외활동으로 인한 정보력등을 바탕으로 한 영업력",C," 기업의 전문성과 우수성을 객관적으로 평가를 하는 기관평가(한국산업안전보건공단평가)에 우수등급 확보(지속적인 A등급 확보)
 고객과의 지속적인 소통을 위한 연중무휴 콜센타 운영",A," 기존고객의 지속적인 관계를 통한 용역수행에 대한 용역비용 수령
 경쟁입찰을 통한 용역계약으로 인한 용역대금 수령
 수의계약을 통한 용역대금 수령",C," 산업안전보건법에 명시된 기업의 근로자를 위한 작업환경측정용역 대행업
 산업안전보건법에 명시된 기관석면조사업
 석면안전관리법에 명시된 건축물 석면조사업
 석면안전관리법에 명시된 비산석면농도측정업
 산업안전보건법에 명시된 공기질석면농도측정업
 석면안전관리법에 명시된 석면감리업
 기타 산업안전보건법에 명시된 산업안전보건과 관련된 컨설팅사업",A," 전문지식을 갖춘 부서별 인적자원
 법령에 근거한 전문과학기술서비스업
 오랜 근속연수로 인한 인적자원의 경험력
 다양한 대외활동을 기반으로 한 경영진의 사장흐름을 파악하여 변화를 이끄는 경영진
 지역에 기반한 영업력",D,"한국산업안전보건공단
 고용노동부
 지역내에 존재하는 경쟁회사( 대한산업보건협회, 한국시험환경연구소등)",A," 인건비
 설비투자비(분석장비, 측정장비)
 재료소모품비(시약구입비 등)
 건물 및 기계감각상각비
 사무실임대료
 차량유지비
 기타운영비",E
5,대동산업(주),"건설사, 시행사, 설계사무소
도소매 유통업체
건축주
LH공사, SH공사, 지방 관공서",C,"고객이 만족하는 제품을 생산하여 공급
신뢰를 바탕으로 고객, 협력사, 제휴기업과의 파트너 경영
끝까지 책임지는 하자처리",D,"LH공사, SH공사, 지방 관공서 등 직접 영업을 통한 입찰 참가
공공조달 입찰을 통한 영업
직영대리점을 통한 고객 영업",B,"당사 영업부와 디자인연구소가 제품관련 품질 및 디자인 등 니즈를 파악
목표 고객에게 제품 제안 영업
홈페이지나 품평회 등으로 홍보",B,"제품 판매로 대금 수령
공공입찰로 제품 대금 수령
수의계약을 통한 제품 대금 수령",C,"건설사, 시행사, 등 목표고객에게 신제품 제안
생산 협의를 통해 적시에 생산하여 제품 공급
고객의 니즈를 파악하여 지속적인 유대관계를 유지, 제품에 반영
신제품 개발을 위해 영업부, 디자인연구소팀이 협의하여 영업 활동",C,"전문 기술인력과 풍부한 경험을 갖춘 각 부서의 인적자원
시장 흐름을 파악하여 변화를 이끄는 경영진
업계에서 규모가 큰 설비 및 생산 능력의 공장(자동화 설비)
제품 생산의 오랜 노하우와 생산기술",B,"건설사 상품개발부서, 설계팀
설계사무소, 디자인사무소
공공발주처(LH공사, SH공사, 지방공공기관)
타일 제품 판매 대리점",C,"인건비, 원재료비, 물류비용
설비투자비, 기술개발비
건물 및 기계 감가상각비",C
6,(주)삼일씨엔에스 충주석산,"건설사, 레미콘사, 아스콘사, 콘크리트 2차 제품(PC 외)",C,"최상을 솔루션을 제공하는 고객중심 기업
양질의 골재를 생산, 적기에 공급",E,"인근 골재 수요처 파악 및 제안을 통해 입찰 참여
골재 운송처를 통한 간접판매 진행
개인 인맥 및 거래처 소개를 통한 영업",C,"자재 공급원 서류 제공을 통한 품질에 대한 신뢰확보
타사 대비 양질의 제품에 가격 경쟁력 제공
지속적인 유대관계 유지(영업활동)",C,"골재 납품을 통해 판매 대금 수금
원가로 내부(자사) 공급을 통한 내부이익 극대화
운영의 합리화를 통한 효율성 제고(생산성 향상 외)",B,"지속적인 허가를 통해 사업의 영속성 확보
기존 거래선의 지속 유지 및 신규 거래선 확보",D,"양질의 골재 생산에 적합한 원석
본업에 대한 전문 지식과 경험을 가진 인적자원
시장점유율 1위의 55년 업력의 노하우",D,"레미콘 건설사, 레미콘사, 아스콘사, 콘크리트 2차 제품 업체의 품질, 구매 담당자
구매 의사결정권이 있는 경영자",E,"인건비(외주비 포함), 장비대, 유류대, 전력료, 감가상각비, 소모수선비 외",E
7,(주)명성기업,"국내 1군 10개 건설사 협력사 등록
100대 건설사
시스템욕실 업체
토탈홈인테리어 업체",A,"신뢰와 품질 기술력으로 건설사 등 가치 제공자에게 최상의 고객감동 추구
하자 기간 안에서 선진적이고 능동적으로 대처하는 민원처리
고 부가가치 창조를 위한 시장조사, 제품개발",B,"각 건설사 목표고객(담당부서, 담당자)에게 직접 영업을 통한 협력사 등록과 입찰 참가
이전 영업자료를 통해 연락 받은 소개 인적영업
DM발송 및 카타록, 리플릿 방문 영업",C,"신규 디자인 제품 소개(카타록, 리플릿) 방문 영업
혹은 업체,제품 소개 이메일 발송 후 TM 영업",C,"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
수의계약을 통한 공사대금 수령",C,"고객의 가치구분으로 기간별, 횟수별 TM,DM 영업
고 부가가치 확보를 위한 고급 브랜드, 고급 제품화 개발 및 홍보물 제작
제품 다향성을 위한 재질 다각화 모색
수시로 고객 needs 확인",B,"영업부의 인적자원으로써 누적된 영업기술, 인적 관계
30년 이상 누적된 생산 기술력의 인적자원으로 시행착오 최소화를 통한 원가절감과 순발력 있는 대응",D,"30년 이상 파트너쉽 관계의 원자재 업체
30년 이상 파트너쉽 관계의 시공 전문 기술팀 다수 보유
20년 이상 파트너쉽 관계의 금형제작 업체
20년 이상 파트너쉽 관계의 원부자재 업체",D,"원가대비 60% 정도의 원자재비
인건비 영업부, 생산부 ,a/s팀
매년 상승되는 인건비를 줄이기 위한 지속적인 자동화라인, 환경 설비 투자비
물류비
납품 및 시공비
서울소재 영업부 사무실 임대료
제조공장 건물 및 기계 감가삼각비",D
8,㈜한국캐피탈,"건설사, 시행사
제조업 기반 설비를 필요로 하는 회사
고가 장비를 필요로 하는 병원
기타 소매 대출 수요자 등(신용대출, 자동차 할부 및 리스 등)",C,"기업대출을 통한 경제 발전 이바지
우량고객 확보를 통한 안정자산 확충
자산 증대를 통한 신용등급 상향으로 고객금리 인하로 부담 완화",C,"홈페이지 및 콜센타를 통한 상담 및 협의
스크린골프 및 프로야구 공고 등을 통한 홍보
자체 영업팀 개별영업
타사 경력직원 채용으로 영업 확대",D,"인터넷을 통한 고객상담사별 고객 유치
장비 제조사 및 수입상 영업을 통한 리스, 렌탈, 할부 상품 소개
전문 경력직 채용을 바탕으로 신규 시장 진입 ",B,"대출 발생을 통한 이자 수익
신용등급 상향을 통한 조달금리 감소로 마진율 증가",C,"당사 영업팀에서 파악한 고객 니즈로 신규 금융상품 개발
벤더 영업을 통한 신규시장 진출 및 금리 요구조건 충족
빠른 대출 심사와 대출 실행을 바탕으로 추가 거래 유도",B,"자산 증대 및 신용등급 상향을 통한 자금 조달 금리 인하
산업 시장 흐름을 파악하여 변화를 이끄는 능력 있는 경영진
신규 상품 런칭 및 산업별 심사 강화를 통한 리스크 완화 능력
상품별 전문 인력 채용을 바탕으로 브랜드 파원 및 인적 자원",D,"공작기계, 의료기, 자동차 등 장비 제조사 및 수입상
금융 에이전트 및 에이전씨 회사
증권사 PF팀, 캐피탈 금융 영업팀과 연계한 영업",D,"사내 전산 개발 및 유지보수비
사무실 임대료
에이전트 수수료
영업차량 유지비
데이터 서버 운영비, 인건비",B
9,(주)정진산업,"건설사
설비회사",D,"품질, 기술, 신용을 바탕으로 납기일내 제품공급
변화에 대응하는 능력",E,"LH공사, SH공사 등의 시공사를 통한 영업
개인 인맥을 통한 개별영업",D,"건설사, 시공사와의 지속적인 피드백",D,배관납품 판매를 통한 수익창출,D,"건설사, 시공사와의 지속적 유대관계유지를 통해 시공방법 변경 등의 상황을 발빠르게 대처하고 신제품 개발에 노력",D,"공장 및 설비시설
배관 제작 노하우 및 생산능력",E,"운송회사
시공소장
공공발주처",C,"인건비
재료비
운송비
영업비
설비투자비",D
10,㈜두코,"자동차사(폭스바겐, 르노삼성, 현대, 기아 등), 렌터카 회사(SK렌터카, 롯데 렌터카 등)  캐피탈 회사(현대 캐피탈 등)
일반 기업, 자동차 용품 대리점
홈쇼핑 업체(GS, 현대, 롯데 등), 쇼핑몰 업체(11번가, G마켓 등)
일반 소비자, 해외 바이어",C,"You dream it! We make it!
국내 온라인, 오프라인, 해외 수출 등 다양한 채널을 통해 상품을 유통하고 있는 마케팅 전문 기업
변화하고 있는 트랜드를 끊임없이 연구하여 고객의 소비 패턴에 맞는 경쟁력 있는 상품 개발
소비자 가치 시대에 부응하는 new 트랜드 창출",B,"온라인 마케팅
지역 총판 권한을 활용한 채널 활동
자사몰을 통한 홍보 및 마케팅
유투브를 통한 레퍼런스 전파
오프라인 대리점을 통한 영업
SNS 및 블로그 활동
자체 영업조직에서 직판 영업",B,"자동차 동호회를 통한 홍보 및 소통
분기별 총판 간담회를 통한 제품 소개 및 니즈 파악
유투브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
온라인 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",A,"제품 판매
서비스 용역 매출",C,"시장 트랜드 조사 및 제품 전략 수립 활동
제품 기획 및 개발 활동
상품 홍보 및 마케팅 활동
공급 채널 확장 및 강화 활동
채권 안정화 관리 및 회수 활동",A,"전국적 오프라인 유통 네트워크 보유
다양한 온라인 채널 확보
제품 개발 및 생산 능력 보유
시장 트랜드에 민첩하게 대응 할 수 있는 조직 보유
유통 및 마케팅 전문 인력 보유",B,"제품 개발사 및 생산 회사, 지역별 판매 총판
자동차 사 및 렌터카 사",C,"인건비, 재료비, 물류비, 설비 투자비, 기술 개발비
금형 개발비, 운영비, 영업비, 광고 및 홍보비",A
