고객세그먼트,label
"현대건설, 지에스건설 등 건설사
LH공사, SH공사, 지방 도시공사와 같은 시행사
토지주",A
"전자부품MLCC(Multi Layer Ceramic Condenser)제조사
반도체 패키지용 인쇄회로기판 제조사
전장용, 5G 통신용 및 네트워크용 인쇄회로기판 제조사
반도체 제조사",A
"주거용 건물 건축주(입주자아파트 등)
건설부문 외주 및 자재 생산업체(단종업체) 
관공서 발주처(한국토지공사, 해양수산부, 지자체 등)",B
"관공서(행정기관)석면사업부(조사, 감리, 측정)
제조업(대기업)작업환경측정사업부",B
"건설사, 시행사, 설계사무소
도소매 유통업체
건축주
LH공사, SH공사, 지방 관공서",C
"건설사, 레미콘사, 아스콘사, 콘크리트 2차 제품(PC 외)",C
"국내 1군 10개 건설사 협력사 등록
100대 건설사
시스템욕실 업체
토탈홈인테리어 업체",A
"건설사, 시행사
제조업 기반 설비를 필요로 하는 회사
고가 장비를 필요로 하는 병원
기타 소매 대출 수요자 등(신용대출, 자동차 할부 및 리스 등)",C
"건설사
설비회사",D
"자동차사(폭스바겐, 르노삼성, 현대, 기아 등), 렌터카 회사(SK렌터카, 롯데 렌터카 등)  캐피탈 회사(현대 캐피탈 등)
일반 기업, 자동차 용품 대리점
홈쇼핑 업체(GS, 현대, 롯데 등), 쇼핑몰 업체(11번가, G마켓 등)
일반 소비자, 해외 바이어",C
"전자제품 제조사
전자제품 S/W 개발사
전자부품 대리점, 전자부품 유통사",C
"건설사, 시행사
설비회사
리모델링을 원하는 주부나 가장
건축주",D
"학교급식실 영양사
친환경급식센터
식품제조회사 
반찬프랜차이즈
온라인쇼핑 주부",D
"신규사업으로 삼성디스플레이, 미국 Qualcom등에 영업 진행하고 있음. ",B
"Off line상: 대규모 특판(선물구매) 거래 업체 : 제조 직군이 많은 업체 , 봉사활동을 많이 하는 단체(라이온스, 로타리 클럽 등) 대규모 종교단체 영락교회, 영동교회
online상: 전자상거래상 매출 위주 : 기존의 상거래 망을 유지하면서, 향후 나라장터에 제품 공급",D
"중소기업/매출액 100억이하(여신금지,제한업종 제외)",D
"전세계 모든 기업
IMG Media는 현재 올림픽 등 주요 방송 제작을 맡아오고 있으며, 골프, 테니스, UFC 등 스포츠분야, 라이센스, 아카데미 등 부서에서는 다양한 후원사들과 연계되어 업무를 진행하고 있습니다.
선수
유망가능성이 있는 선수를 육성하고 있으며,
나달, 정현, 펑샨샨, 아리야&모리야 주타누칸 등 유명 선수들을 관리합니다. ",B
"수지, 페인트/도료, 점/접착제, 잉크, 우레탄 제조 업체",C
"건축자재 특히 타일 도,소매점",D
"발전소 건설회사
발전소를 운영하고 있는 발전자회사 (동서, 남동, 서부, 남부, 중부발전 등)
보일러를 운영중인 산업단지 Utility 회사
선박 신조 및 개조 회사",B
"음향,영상을 필요로 하는 수요처로서 모든 지자체와 정부기관
공공건축물을 비롯한 모든 건설현장에서 기전팀을 포함한 건설사
방송장비를 필요로 하는 전기공사업체 및  통신공사업체
음향, 영상장비를 필요로 하는 모든 종교시설",C
주택 소유 사업자,D
"현대모비스 인천사업소내 부품 창고 물류 대행
현대차, 기아차, 인천 광역시권 A/S 부품 공급망 부품 공급(부품대리점, 전문점, 판촉점 등)",C
"종합건설사, 전문건설사, 유통사",C
"대형 건설사
호텔 및 레저시설 인테리어 디자인사
LH/SH공사
해외 수입상
아마존을 포함한 이커머스를 통한 B2C 시장",B
"음식 섭취가 가능한 전국민 모두
인테리어 시공사
신규창업 예정자(정년퇴직 및 이직예정자)
육가공 및 소스류 제조업체
포장지 생산업체
배송전문 업체
점포개발 전문가
광고홍보 업체",B
"매월 정기적인 판매가 가능한 기업
부정기적인 대량물량, 시즌에 물량이 집중되는 것은 바람직하지 않음 
지역별, 상권별 우량 점포
자본력, 점포 규모, 판매력, 마케팅 능력 등을 보유
캠핑을 취미로 프리미엄 캠핑 브랜드를 이용하고자 하는 해비 유저
당사의 강점은 고품질, 브랜드 파워, 디자인, 고객 소통 능력 등",B
"종합건설사 (진흥기업, 효성중공업, 신한종합건설, 씨티건설 외)
가구회사 (한샘, 리바트, 우아미가구, 리버스 등)
인테리어회사
LH, SH 등 관공서",B
각종 제조업 공장,D
"국공립 미술관, 박물관
사립 미술관
고급 호텔 및 주거의 시공사 및 발주처
해외 브랜드, 건축가, 조명디자이너, 인테리어 디자이너, 공간 디자이너, 전시 기획자 등등.",C
"(차량 구매를 목적으로 하는) 일반 고객
(차량 구매를 목적으로 하는) 개인 고객
(차량 구매를 목적으로 하는) 법인 고객",D
"친환경 주방용품, 욕실용품, 테이블웨어에 관심이 있는 40대 주부
친환경 키워드에 관심이 있는 20~30대 미혼 여성(주로 비건 식단 추구 또는 페미니즘 성향)
건강에 관심이 있는 50~60대 중장년층 여성",D
"건설사, 시공사, 건물 건축주",C
"설계사무소, 주거용 건물 건축주
리모델링을 원하는 주부나 가장
회사,공장등 리모델링이나 인테리어를 원하는 회사
공공기관",C
"공공기관 / 기업
 : 개인정보보호법 (제9조 접근권한, 인증 및 계정관리 / 제11조 접근통제, 네트워크 및 DB관련)
 : 위 법규를 만족해야하는 모든 공공기관, 기업 대상
금융기관
 : 제9조3항(전산자료 보호대책), 제11조8항(해킹 방지대책), 제13조3항(홈페이지 등 공개용 서버 관리 대책)을 만족해야되는 모든 금융기관",B
"폐기물배출 사업장과 스팀 수용가
당사는 가연성폐기물을 받아 소각하고 스팀을 생산하여 공급하는 신재생에너지 업체임
가연성폐기물을 반입하면서 처리비를 받고 스팀을 생산하여 공급함. 인근에 있는 엘지전자로부터 폐합성수지를 받고 있으며 동계약이 지속되는 것을 목표로 함. 또한 스팀수용가는 스팀관로를 통해 연결되어 있으며 최대한 가동율을 높여 많은 스팀을 판매하는 것을 목표로 함",C
