핵심활동,label
"좋은 디자인
경쟁공모 프로젝트 당선
인허가 기간 준수 및 단축",C
"국내외 관련 전시회 출품을 통한 제품 소개 및 회사 인지도 확대
영업인력을 활용한 선진 기술의 소개 및 제품의 제안
고객사의 고기능 고신뢰성 제품 생산을 위한 기술 지원",B
"관공사, 시행사, 건축주 등 목표고객과 공정 협의를 통해 현장 시공",C
" 산업안전보건법에 명시된 기업의 근로자를 위한 작업환경측정용역 대행업
 산업안전보건법에 명시된 기관석면조사업
 석면안전관리법에 명시된 건축물 석면조사업
 석면안전관리법에 명시된 비산석면농도측정업
 산업안전보건법에 명시된 공기질석면농도측정업
 석면안전관리법에 명시된 석면감리업
 기타 산업안전보건법에 명시된 산업안전보건과 관련된 컨설팅사업",A
"건설사, 시행사, 등 목표고객에게 신제품 제안
생산 협의를 통해 적시에 생산하여 제품 공급
고객의 니즈를 파악하여 지속적인 유대관계를 유지, 제품에 반영
신제품 개발을 위해 영업부, 디자인연구소팀이 협의하여 영업 활동",C
"지속적인 허가를 통해 사업의 영속성 확보
기존 거래선의 지속 유지 및 신규 거래선 확보",D
"고객의 가치구분으로 기간별, 횟수별 TM,DM 영업
고 부가가치 확보를 위한 고급 브랜드, 고급 제품화 개발 및 홍보물 제작
제품 다향성을 위한 재질 다각화 모색
수시로 고객 needs 확인",B
"당사 영업팀에서 파악한 고객 니즈로 신규 금융상품 개발
벤더 영업을 통한 신규시장 진출 및 금리 요구조건 충족
빠른 대출 심사와 대출 실행을 바탕으로 추가 거래 유도",B
"건설사, 시공사와의 지속적 유대관계유지를 통해 시공방법 변경 등의 상황을 발빠르게 대처하고 신제품 개발에 노력",D
"시장 트랜드 조사 및 제품 전략 수립 활동
제품 기획 및 개발 활동
상품 홍보 및 마케팅 활동
공급 채널 확장 및 강화 활동
채권 안정화 관리 및 회수 활동",A
"기술영업이 가능한 영업인력의 전략적 Promotion 및 고객관리
기술영업 인력의 선제적 지원을 통한 고객지원 향상
연구소 개발견적의 적정성을 통한 고객 가치 향상
연구소 엔지니어의 기술 다양성 확보를 통한 고객 대응력 강화
개발 납기 및 제품공급 납기 준수를 통한 고객신뢰 확보",A
"시행업체 및 시공업체의 발굴
시행업체 및 시공업체의 인맥을 통한 정보 파악
제안서 작성 (다른 업체와의 차별성 홍보)
이업종 교류를 통한 건설사 소개받기 및 건물주 소개받기
이업종 자재 공급 업체를 통한 소개받기
원활한 자재 공급 및 현장의 니즈에 맞게 소리 없이 조용히 깔끔하게 
가격 저렴하고 일 잘하면 그냥 고객이 몰려와요",B
