비용구조,label
"인건비
외주비
관리비",E
"재료비
인건비
물류비
사무실임대료
기계감가상각비
영업비",E
"인건비, 시공비, 재료비, 하자처리비
사무실 임대료",E
" 인건비
 설비투자비(분석장비, 측정장비)
 재료소모품비(시약구입비 등)
 건물 및 기계감각상각비
 사무실임대료
 차량유지비
 기타운영비",E
"인건비, 원재료비, 물류비용
설비투자비, 기술개발비
건물 및 기계 감가상각비",C
"인건비(외주비 포함), 장비대, 유류대, 전력료, 감가상각비, 소모수선비 외",E
"원가대비 60% 정도의 원자재비
인건비 영업부, 생산부 ,a/s팀
매년 상승되는 인건비를 줄이기 위한 지속적인 자동화라인, 환경 설비 투자비
물류비
납품 및 시공비
서울소재 영업부 사무실 임대료
제조공장 건물 및 기계 감가삼각비",D
"사내 전산 개발 및 유지보수비
사무실 임대료
에이전트 수수료
영업차량 유지비
데이터 서버 운영비, 인건비",B
"인건비
재료비
운송비
영업비
설비투자비",D
"인건비, 재료비, 물류비, 설비 투자비, 기술 개발비
금형 개발비, 운영비, 영업비, 광고 및 홍보비",A
"인건비, 원자재비, 개발비, 설비투자비",C
"인건비
사무실 임대료, 창고 임대료
차량유지비 및 관리비
물류비용
비 회수 채권
악성 재고",D
"인건비, 부자재비, 홍보비, 물류비용
기기설비투자비, 상품개발비, 
일반관리비
건물 및 기계 감가상각비",C
상기답변으로 대체함.,E
"인건비, 광고비, 택배(물류비), 포장재료비
사무실 임대료
통신, 서버사용료
컴퓨터 등의 감가상각비
인건비 인건",B
"영업활동비
광고 및 홍보비, 영업비, 사무실 임대료",C
"인건비
영업비",E
"원료 물품대
인건비
물류비용",E
"인건비, 임대료
차량유지비
샘플비 (판촉)
출장비, 차량유지비, 여비 숙박비, 식비, 선물대
소모품비(창고운용에 필요한 수리비, 잡자재 등)
하자보수비(타일대금, 운반비 또는 인건비)
전산관리비
문구비",D
"재료비 (제작 포함) 약 70%
인건비 약 20%
사무실 및 기타 약 10%",E
"방송장비 시스템 개발 비용( 연구소에서 필요한 설비투자 포함)
제품 생산비용 (외주생산비 포함)
외주 시공회사와 외주 기술자비용
영업비용, 운영비",C
"광고 홍보비
인건비
사무실 임대료등",C
"직원 급여, 인건비, 복리후생비
사무실임대료, 설비감가상각비",E
"인건비, 재료비, 판매관리비",E
"자재비
노무비
시공비
외주비
설비투자 및 기술개발비",E
"인건비,제조비,냉장동 관리비,물류비,광고비
 마케팅비,설비 투자비,메뉴연구 개발비
건물,공장,기계 감가상각비
운영비,데이터 서버운영비,차량 관리비 및 운영비",A
"상품매입비용
수입, 통관, 검사 비용
배송 물류비
건물 및 인테리어 감가상각비
생산, 지원, 영업 인건비",D
"영업비
제품개발비
사무실임대표
인건비
광고 / 홍보비",B
"영업비
사무실임대표
물류비용",E
"제품 구입 비용
수입 관련 운송 비용
다양한 마케팅(교육 및 전시,박람회 참가) 비용
ERCO 제품을 사용하고, 제안하는데 필요한 서비스 비용
사무실 임대료
인건비 등등",D
"광고 및 홍보비
자동차용품 비용",D
"제품 사입 비용
사무실 임대료
관리비(전기세, 수도세, 통신비)
4대 보험료(건강보험료, 연금보험료)
대출 이자 비용
카드결제 수수료
차량관리비(주유비, 소모품비)
설비투자비, 인건비",D
"인건비, 시공비, 재료비, 광고비, 물류비용, 시무실임대료",D
"인건비(직원)
자재비
사무실 유지비(임대료, 차량들 관리비등등)
세금(4대보험료, 종소세, 법인세 등등",D
"마케팅비, 운송료, 소모품비, 접대비, 회의비, 차량유지비, 차량렌탈료, 외주개발비, 데모장비구매비
인건비(급여, 인센티브), 복리후생비, 4대보험, 임대료, 관리비, 제세공과금, 이자비용
시스템운영비(ERP, 그룹웨어, 문서공유 협업시스템, 원격근무 보안인프라시스템 등)
사업지원수수료(법무, 세무회계, 각종교육컨설팅 등 수수료), 각종인증(이노비즈, 벤처기업, ISO인증, 정보통신공사업 등) 진행 및 유지비
환경개선비, 자산구매비, 시설관리비",C
"소각하고 남는 소각재의 매립비용
오염방지시설 운영을 위한 약품비용
시설 개선과 유지보수를 위한 수선비와 소모품비
인건비와 전기 및 상수도 비용 등",E
"인건비, 광고선전비, 임차료, 판매수수료, 지급수수료, 연구개발비",B
"가죽, 원목 등 소재 구매 비용
소파 제작 인건비
소파 배송 비용
광고비
사무실 임대료
매장 운영비",C
"공사비(재료비, 인건비,외주비)
직원 경비
사무실 임대료",E
" 사무실, 물류센타 임대료
 상품 재고비용
 인건비",C
"인건비.자재비.물류비.숙박비
사무실 임대료
공구비",E
"인건비.
매장인테리어 비용
광고선전비",C
"인건비.
매장인테리어 비용
광고선전비
판매수수료(백화점,면세점, 홈쇼핑등 마진)",C
"인건비
웹/앱 개발비
특허확보
사무실임대료, 서버운영비, 광고대행비",B
"인건비, 영업비, 광고비, 감가상각비",C
"인건비
앱개발 및 관리비
사업장 임대료, 관리비
임,직원 교육비",E
"인건비, 물류비용
광고비, 영업지원비
데이터 서버운영비
건물 및 기계 감가상각비",C
"인건비, 광고비, 운영비, 물류비용, 임대료, 감가상각비, 업무추진비",C
"개발비, 인건비 
금형비 
임대료",D
"인건비가 거의 대부분임
기타 사무실 및 사무용기기 임차료, 잦은 출장에 따른 출장비 및 차량관련비용, 식대 등의 복리후생비
전문지식을 유지하기 위한 교육훈련비",E
"인건비, 재료비, 경비, 감가상각비, 개발비, 일반관리비
접대비, 복리후생비",D
"인건비, 사무실임대료, 전산개발비, 현금배당금
신계약비 및 유지비. 보험금, 사회적공헌비용 등",D
"인건비, 광고비, 영업비",D
"식자제
인건비
임대료
가스비
수도요금
전기세",E
"인건비, 협력업체비, 장비렌트비, 영업비, 설계비,  기술개발비, 임대비 ",D
"원자재비용
인건비",E
"사무실 임대료
영업비
렌탈장비 사용료
우편비
자동차 유지비",E
"인건비, 광고비
차량유지 비용, 유류비
사무실 임대료 등등",D
