가치제안,label
"창의적인 디자인을 통한 풍요로운 도시공간의 가치창출
건축문화를 선도하는 리더그룹으로서의 사회적 책임완수
독창적 디자인과 차원 높은 문제해결의 통합디자인 솔루션 제공",B
"기술혁신과 환경 부담 개선을 통하여 전자산업 발전에 공헌하고 환경 보전에 힘쓴다. 
국내 및 해외 법령을 준수하고, 시장의 자유 경쟁을 통해 건전한 사업 활동을 영위한다.
사원의 인격, 개성을 존중하고, 안전한 근무 환경과 능력 및 의욕을 발휘할 수 있는 환경을 제공하여 인재 육성에 힘쓴다.",A
"품질, 기술, 완벽한 시공으로 고객만족을 실현
하자율 최소화(제로)로 입주자 고객만족 추구",E
" 전문성을 바탕으로 한 신뢰를 구축을 통한 용역서비스 ( 석면조사, 작업환경측정업, 석면감리, 비산농도측정 등)
 고객의 니즈를 충족 시키기 위한 신속 가능한 서비스
 고객의 최우선 욕구인 법규만족 뿐만 아니라 용역서비스에 대한 가치를 상품화하는 노력(비용편익분석등)",A
"고객이 만족하는 제품을 생산하여 공급
신뢰를 바탕으로 고객, 협력사, 제휴기업과의 파트너 경영
끝까지 책임지는 하자처리",D
"최상을 솔루션을 제공하는 고객중심 기업
양질의 골재를 생산, 적기에 공급",E
"신뢰와 품질 기술력으로 건설사 등 가치 제공자에게 최상의 고객감동 추구
하자 기간 안에서 선진적이고 능동적으로 대처하는 민원처리
고 부가가치 창조를 위한 시장조사, 제품개발",B
"기업대출을 통한 경제 발전 이바지
우량고객 확보를 통한 안정자산 확충
자산 증대를 통한 신용등급 상향으로 고객금리 인하로 부담 완화",C
"품질, 기술, 신용을 바탕으로 납기일내 제품공급
변화에 대응하는 능력",E
"You dream it! We make it!
국내 온라인, 오프라인, 해외 수출 등 다양한 채널을 통해 상품을 유통하고 있는 마케팅 전문 기업
변화하고 있는 트랜드를 끊임없이 연구하여 고객의 소비 패턴에 맞는 경쟁력 있는 상품 개발
소비자 가치 시대에 부응하는 new 트랜드 창출",B
"고객이 요구하는 기술 및 품질 달성
제품개발을 통한 제품의 기술추이 분석 및 선도기술 개발
제품개발 고도화를 통한 Set 경쟁력 확보",C
"가격대비 디자인이 얼마나 우수한가
품질이 얼마나 좋은가
제품공급은 원활하고 연속성이 있는가
하자보수는 가능하고 지속 가능한가",C
"국산농산물 자연 그대로의 가치제공
편리한 조리를 위한 전처리 농산물공급
메뉴별 사양별 고객의 주문에 의한 생산",C
